"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSSSAG00000068524",177.141562787666,-3.31786149738263,0.432121242217461,86.0555287580556,1.99492520823416e-16,2.49600961641055e-16,"TRIM66.1","tripartite motif containing 66 [Source:ZFIN;Acc:ZDB-GENE-040724-145]"
"ENSSSAG00000069228",301.296895771975,10.5719464746365,0.513258832150478,1273.21280243899,6.81442499435093e-272,5.57178620319356e-270,"TRIM55A","tripartite motif containing 55a [Source:ZFIN;Acc:ZDB-GENE-040718-50]"
"ENSSSAG00000069311",87.6355289976964,-3.0277853086409,0.417307438667755,342.281593953514,7.00242592358925e-71,2.99731933932934e-70,"TRIM67","tripartite motif containing 67 [Source:HGNC Symbol;Acc:HGNC:31859]"
"ENSSSAG00000069323",74.2178651542376,-9.7423123098715,0.751284334857621,590.636629284113,2.43993067042147e-124,2.91862112228076e-123,"TRIM67.1",""
"ENSSSAG00000070895",266.411678486727,6.30690676982485,0.231293559944631,2824.86751173202,0,0,"TRIM101","tripartite motif containing 101 [Source:ZFIN;Acc:ZDB-GENE-040801-100]"
"ENSSSAG00000076355",684.861521216332,0.403505824224342,0.218409593227915,200.523639127481,1.46807697668675e-40,3.19087429274104e-40,"TRIM44","tripartite motif containing 44 [Source:ZFIN;Acc:ZDB-GENE-050522-37]"
"ENSSSAG00000077251",59.9279228509162,0.380137998790629,0.435513375734585,61.2266508517656,2.53481576795139e-11,2.88752545336511e-11,"TRIM69.1","tripartite motif containing 69 [Source:ZFIN;Acc:ZDB-GENE-030131-857]"
"ENSSSAG00000079038",544.00622148846,9.59288033209612,0.349220611448131,2113.32920929529,0,0,"TRIM55A.1","tripartite motif containing 55a [Source:ZFIN;Acc:ZDB-GENE-040718-50]"
"ENSSSAG00000080754",206.136246046143,7.9614085511869,0.616018306757089,444.755802918277,6.60029915629349e-93,4.39650273229889e-92,"TRIM55B","tripartite motif containing 55b [Source:ZFIN;Acc:ZDB-GENE-060312-37]"
"ENSSSAG00000084573",745.639964161306,12.0171031555143,0.910043688957515,428.657935529506,1.91997810231644e-89,1.19989459524862e-88,"TRIM63A","tripartite motif containing 63a [Source:ZFIN;Acc:ZDB-GENE-040625-139]"
"ENSSSAG00000085640",37.0024612155429,-0.0192130945993558,0.933784802800283,700.075374543484,5.89175905129873e-148,1.05538049970936e-146,"TRIM25L","tripartite motif containing 25, like [Source:ZFIN;Acc:ZDB-GENE-040914-87]"
"ENSSSAG00000086871",255.200653210745,-3.98989726005324,0.492165251089375,215.003810033342,1.2089197613163e-43,2.81414435779247e-43,"TRIM16.1","tripartite motif containing 16 [Source:ZFIN;Acc:ZDB-GENE-090512-6]"
